Little Driver 1.9,,,,,,,
Reference,Value,Count,Supplyer_Part_No,mfr_num,Manufacturer,Supplyer,Supplyer_Link
Terminals,CONN_01X01,4,36-8197-ND,8197,Keystone Electronics,Digi-Key,http://www.digikey.com/products/en?keywords=36-8197-ND
PCB,Little DRIVER BOARD 1.9,1,Little DRIVER BOARD 1.9,Little DRIVER BOARD 1.9,PCB Way,Dirty Boards,http://dirtypcbs.com/store/pcbs
Q1,IRLS3034TRLPBF,1,942-IRFR7540TRPBF,IRFR7540TRPBF,International Rectifer,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyIRFR7540TRPBF
U1,"TLP182(BL-TPL,E",1,757-TLP182(BL-TPLE,"TLP182(BL-TPL,E",Toshiba Semiconductor and Storage,Mouser,http://www.mouser.com/ProductDetail/Toshiba/TLP182BL-TPLE/?qs=%2fha2pyFadugbsqTSs7TO0w%2fCYanoUPnokyuJGxL3ERo%252bGTk2DW0buA%3d%3d
CN1,6 Pin Headder,1,538-15-91-2060,15912060,"Molex, LLC",Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey15912060
D3,Led_Small,1,941-CLM1BAKWCUAVB253,CLM1B-AKW-CUAVB253,CREE,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyCLM1B-AKW-CUAVB253
JP1,Jumper_NC_Small,1,517-9691020000DA,969102-0000-DA,3M,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey969102-0000-DA
R1,1.0K,1,603-RC1206FR-071KL,RC1206FR-071KL,Yageo,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyRC1206FR-071KL
R4,1.69K,1,603-RC1206FR-071K69L,RC1206FR-071K69L,Yageo,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyRC1206FR-071K69L
R2,1.8K,1,603-RC1206FR-071K8L,RC1206FR-071K8L,Yageo,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyRC1206FR-071K8L
R5,3.6K,1,603-RC1206FR-073K6L,RC1206FR-073K6L,Yageo,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyRC1206FR-073K6L
R3,300,1,603-RC1206JR-07300RL,RC1206JR-07300RL,Yageo,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyRC1206JR-07300RL
