Reference,Populate,Value,Count,Manufacturer Part No,Manufacturer,Supplyer,Supplyer_Part_No,Datasheet,Supplyer_Link
R4,Yes,1.69K,1,RC1206FR-071K69L,Yageo,Digi-Key,311-1.69KFRCT-ND,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,http://www.digikey.com/product-detail/en/yageo/RC1206FR-071KL/311-1.00KFRCT-ND/731334
POWER+;BED+;BED-;POWER-,Yes,CONN_01X01,4,8197,Keystone Electronics,Digi-Key,36-8197-ND,http://www.keyelco.com/product-pdf.cfm?p=1534,http://www.digikey.com/product-search/en?keywords=36-8197-nd
R3,Yes,300,1,RC1206JR-07300RL,Yageo,Digi-Key,311-300ERCT-ND,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,http://www.digikey.com/product-detail/en/yageo/RC1206JR-07300RL/311-300ERCT-ND/732222
U1,Yes,PS2801C-1-A,1,PS2801C-1-A,CEL,Digi-Key,PS2801C-1-A-ND,http://www.digikey.com/product-search/en?keywords=PS2801C-1-A,http://www.digikey.com/product-search/en?keywords=PS2801C-1-A
R1,Yes,1.0K,1,RC1206FR-071KL,Yageo,Digi-Key,311-1.00KFRCT-ND,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,http://www.digikey.com/product-detail/en/yageo/RC1206FR-071KL/311-1.00KFRCT-ND/731334
D3,Yes,Led_Small,1,CLM1B-AKW-CUAVB253,CREE,Digi-Key,CLM1B-AKW-CUAVB253CT-ND,http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLM1BRKWAKW1084.pdf,http://www.digikey.com/product-search/en?keywords=CLM1B-AKW-CUAVB253CT-ND
CN1,Yes,Jumper_NC_Small,2,95278-801A06LF,Amphenol FCI,Digi-Key,609-5161-1-ND,http://portal.fciconnect.com/Comergent//fci/drawing/95278.pdf,http://www.digikey.com/product-detail/en/amphenol-fci/67997-410HLF/609-3243-ND/1878475
JP1,NO,Jumper_NC_Small,1,969102-0000-DA,3M,Digi-Key,3M9580-ND,http://multimedia.3m.com/mws/media/548120O/3mtm-shunt-ts2186.pdf,http://www.digikey.com/product-detail/en/3m/969102-0000-DA/3M9580-ND/2071621
R2,Yes,1.8K,1,RC1206FR-071K8L,Yageo,Digi-Key,311-1.80KFRCT-ND,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,http://www.digikey.com/product-detail/en/yageo/RC1206FR-07249RL/311-249FRCT-ND/731664
R5,Yes,3.6K,1,RC1206FR-073K6L,Yageo,Digi-Key,311-3.60KFRCT-ND,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,http://www.digikey.com/products/en?keywords=311-3.60KFRCT-ND
Q1,Yes,FDD9407_F085,1,FDD9407_F085,Fairchild Semiconductor,Digi-Key,FDD9407_F085CT-ND,https://www.fairchildsemi.com/datasheets/FD/FDD9407_F085.pdf,http://www.digikey.com/product-detail/en/fairchild-semiconductor/FDD9407_F085/FDD9407_F085CT-ND/4963423
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
