Little Driver 1.7 BOM,,,,,,,,,,
,,,,,,,,,,
Reference,Value,Count,Supplyer_Part_No,mfr_num,Manufacturer,Supplyer,Supplyer_Link,,,
R4,1.69K,1,311-1.69KFRCT-ND,RC1206FR-071K69L,Yageo,Digi-Key,http://www.digikey.com/products/en?keywords=311-1.69KFRCT-ND,,,
R3,300,1,311-300ERCT-ND,RC1206JR-07300RL,Yageo,Digi-Key,http://www.digikey.com/products/en?keywords=311-300ERCT-ND,,,
U1,PS2801C-1-A,1,PS2801C-1-A-ND,PS2801C-1-A,CEL,Digi-Key,http://www.digikey.com/products/en?keywords=PS2801C-1-A-ND,,,
R1,1.0K,1,311-1.00KFRCT-ND,RC1206FR-071KL,Yageo,Digi-Key,http://www.digikey.com/products/en?keywords=311-1.00KFRCT-ND,,,
D3,Led_Small,1,941-CLM1BAKWCUAVB253,CLM1B-AKW-CUAVB253,CREE,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyCLM1B-AKW-CUAVB253,,,
CN1,6 Pin Headder,1,538-15-91-2060,15912060,"Molex, LLC",Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey15912060,,,
JP1,Jumper_NC_Small,1,3M9580-ND,969102-0000-DA,3M,Digi-Key,http://www.digikey.com/products/en?keywords=3M9580-ND,,,
R2,1.8K,1,311-1.80KFRCT-ND,RC1206FR-071K8L,Yageo,Digi-Key,http://www.digikey.com/products/en?keywords=311-1.80KFRCT-ND,,,
Q1,PSMN5R6-60YLX,1,771-PSMN5R6-60YLX,PSMN5R6-60YLX,Nexperia,Mouser,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyPSMN5R6-60YLX,,,
R5,3.6K,1,311-3.60KFRCT-ND,RC1206FR-073K6L,Yageo,Digi-Key,http://www.digikey.com/products/en?keywords=311-3.60KFRCT-ND,,,
Terminals,CONN_01X01,4,36-8197-ND,8197,Keystone Electronics,Digi-Key,http://www.digikey.com/products/en?keywords=36-8197-ND,,,
PCB,Little DRIVER BOARD 1.7,1,Little DRIVER BOARD 1.7,Little DRIVER BOARD 1.7,PCB Way,PCB Way,http://www.pcbway.com,,,
